Ticker,CIK,Company
AAPL,0000320193,Apple Inc.
ABNB,0001559720,"Airbnb, Inc."
ACN,0001467373,Accenture plc
ADBE,0000796343,ADOBE INC.
ADI,0000006281,ANALOG DEVICES INC
ADP,0000008670,AUTOMATIC DATA PROCESSING INC
ADSK,0000769397,"Autodesk, Inc."
AEP,0000004904,AMERICAN ELECTRIC POWER CO INC
AKAM,0001086222,AKAMAI TECHNOLOGIES INC
ALNY,0001178670,"ALNYLAM PHARMACEUTICALS, INC."
AMAT,0000006951,APPLIED MATERIALS INC /DE
AMD,0000002488,ADVANCED MICRO DEVICES INC
AMGN,0000318154,AMGEN INC
AMZN,0001018724,AMAZON COM INC
ANET,0001596532,"Arista Networks, Inc."
APH,0000820313,AMPHENOL CORP /DE/
APP,0001751008,AppLovin Corp
ARM,0001973239,ARM HOLDINGS PLC /UK
ASML,0000937966,ASML HOLDING NV
AVGO,0001730168,Broadcom Inc.
AXON,0001069183,"AXON ENTERPRISE, INC."
BKNG,0001075531,Booking Holdings Inc.
BKR,0001701605,Baker Hughes Co
CCEP,0001650107,COCA-COLA EUROPACIFIC PARTNERS plc
CDNS,0000813672,CADENCE DESIGN SYSTEMS INC
CDW,0001402057,CDW Corp
CEG,0001868275,Constellation Energy Corp
CHTR,0001091667,"CHARTER COMMUNICATIONS, INC. /MO/"
CIEN,0000936395,CIENA CORP
CMCSA,0001166691,COMCAST CORP
COHR,0000820318,COHERENT CORP.
COST,0000909832,COSTCO WHOLESALE CORP /NEW
CPRT,0000900075,COPART INC
CRM,0001108524,"Salesforce, Inc."
CRWD,0001535527,"CrowdStrike Holdings, Inc."
CSCO,0000858877,"CISCO SYSTEMS, INC."
CSGP,0001057352,"COSTAR GROUP, INC."
CSX,0000277948,CSX CORP
CTAS,0000723254,CINTAS CORP
CTSH,0001058290,COGNIZANT TECHNOLOGY SOLUTIONS CORP
DASH,0001792789,"DoorDash, Inc."
DDOG,0001561550,"Datadog, Inc."
DELL,0001571996,Dell Technologies Inc.
DIS,0001744489,Walt Disney Co
DXCM,0001093557,DEXCOM INC
EA,0000712515,ELECTRONIC ARTS INC.
EPAM,0001352010,"EPAM Systems, Inc."
EXC,0001109357,EXELON CORP
FANG,0001539838,"Diamondback Energy, Inc."
FAST,0000815556,FASTENAL CO
FER,0001468522,Ferrovial SE
FFIV,0001048695,"F5, INC."
FICO,0000814547,FAIR ISAAC CORP
FOX,0001754301,Fox Corp
FOXA,0001754301,Fox Corp
FSLR,0001274494,"FIRST SOLAR, INC."
FTNT,0001262039,"Fortinet, Inc."
GDDY,0001609711,GoDaddy Inc.
GEHC,0001932393,GE HealthCare Technologies Inc.
GEN,0000849399,Gen Digital Inc.
GILD,0000882095,"GILEAD SCIENCES, INC."
GLW,0000024741,CORNING INC /NY
GOOG,0001652044,Alphabet Inc.
GOOGL,0001652044,Alphabet Inc.
HON,0000773840,HONEYWELL INTERNATIONAL INC
HPE,0001645590,Hewlett Packard Enterprise Co
HPQ,0000047217,HP INC
IBM,0000051143,INTERNATIONAL BUSINESS MACHINES CORP
IDXX,0000874716,IDEXX LABORATORIES INC /DE
INSM,0001104506,INSMED Inc
INTC,0000050863,INTEL CORP
INTU,0000896878,INTUIT INC.
ISRG,0001035267,INTUITIVE SURGICAL INC
IT,0000749251,GARTNER INC
JBL,0000898293,JABIL INC
KDP,0001418135,Keurig Dr Pepper Inc.
KEYS,0001601046,"Keysight Technologies, Inc."
KHC,0001637459,Kraft Heinz Co
KLAC,0000319201,KLA CORP
LIN,0001707925,LINDE PLC
LITE,0001633978,Lumentum Holdings Inc.
LRCX,0000707549,LAM RESEARCH CORP
LYV,0001335258,"Live Nation Entertainment, Inc."
MAR,0001048286,MARRIOTT INTERNATIONAL INC /MD/
MCHP,0000827054,MICROCHIP TECHNOLOGY INC
MDLZ,0001103982,"Mondelez International, Inc."
MELI,0001099590,MERCADOLIBRE INC
META,0001326801,"Meta Platforms, Inc."
MNST,0000865752,Monster Beverage Corp
MPWR,0001280452,MONOLITHIC POWER SYSTEMS INC
MRVL,0001835632,"Marvell Technology, Inc."
MSFT,0000789019,MICROSOFT CORP
MSI,0000068505,"Motorola Solutions, Inc."
MSTR,0001050446,Strategy Inc
MU,0000723125,MICRON TECHNOLOGY INC
NFLX,0001065280,NETFLIX INC
NOW,0001373715,"ServiceNow, Inc."
NTAP,0001002047,"NetApp, Inc."
NVDA,0001045810,NVIDIA CORP
NWS,0001564708,NEWS CORP
NWSA,0001564708,NEWS CORP
NXPI,0001413447,NXP Semiconductors N.V.
ODFL,0000878927,"OLD DOMINION FREIGHT LINE, INC."
OMC,0000029989,OMNICOM GROUP INC.
ON,0001097864,ON SEMICONDUCTOR CORP
ORCL,0001341439,ORACLE CORP
ORLY,0000898173,O REILLY AUTOMOTIVE INC
PANW,0001327567,Palo Alto Networks Inc
PAYX,0000723531,PAYCHEX INC
PCAR,0000075362,PACCAR INC
