Ticker,CIK,Name,SECExchange,Sector,Industry,MarketCap_B,OperatingCashFlow_B,GrossMargin,InstitutionalOwnership,Debt_EBITDA,PPE_Revenue,InfoFromCache,Status,ConfigSignature,EvaluatedAt
NVDA,0001045810,NVIDIA CORP,NASDAQ,Technology,Semiconductors,5103.123,125.648,74.14,70.88,0.077,,True,Pass,4146d044989af6d3,2026-06-20T02:50:11.574421+00:00
GOOGL,0001652044,Alphabet Inc.,NASDAQ,Communication Services,Internet Content & Information,4490.913,174.353,60.37,80.76,0.594,,True,Pass,4146d044989af6d3,2026-06-20T02:50:11.586421+00:00
AAPL,0000320193,Apple Inc.,NASDAQ,Technology,Consumer Electronics,4376.979,140.222,47.86,65.83,0.53,,True,Pass,4146d044989af6d3,2026-06-20T02:50:11.596421+00:00
MSFT,0000789019,MICROSOFT CORP,NASDAQ,Technology,Software - Infrastructure,2818.348,170.141,68.31,75.78,0.68,,True,Pass,4146d044989af6d3,2026-06-20T02:50:11.607423+00:00
AMZN,0001018724,AMAZON COM INC,NASDAQ,Consumer Cyclical,Internet Retail,2628.93,148.531,50.6,68.02,1.511,,True,Pass,4146d044989af6d3,2026-06-20T02:50:11.617421+00:00
TSM,0001046179,TAIWAN SEMICONDUCTOR MANUFACTURING CO LTD,NYSE,Technology,Semiconductors,2396.773,2348.378,61.87,15.64,0.383,,True,Pass,4146d044989af6d3,2026-06-20T02:50:11.638421+00:00
AVGO,0001730168,Broadcom Inc.,NASDAQ,Technology,Semiconductors,1957.031,33.622,76.28,79.91,1.542,,True,Pass,4146d044989af6d3,2026-06-20T02:50:11.649421+00:00
META,0001326801,"Meta Platforms, Inc.",NASDAQ,Communication Services,Internet Content & Information,1465.229,124.0,81.94,79.34,0.794,,True,Pass,4146d044989af6d3,2026-06-20T02:50:11.670422+00:00
MU,0000723125,MICRON TECHNOLOGY INC,NASDAQ,Technology,Semiconductors,1278.839,30.653,58.44,81.6,0.293,,True,Pass,4146d044989af6d3,2026-06-20T02:50:11.680420+00:00
LLY,0000059478,ELI LILLY & Co,NYSE,Healthcare,Drug Manufacturers - General,979.64,20.48,82.83,85.35,1.198,,True,Pass,4146d044989af6d3,2026-06-20T02:50:11.691424+00:00
AMD,0000002488,ADVANCED MICRO DEVICES INC,NASDAQ,Technology,Semiconductors,876.236,9.725,53.06,72.16,0.521,,True,Pass,4146d044989af6d3,2026-06-20T02:50:11.714420+00:00
ASML,0000937966,ASML HOLDING NV,NASDAQ,Technology,Semiconductor Equipment & Materials,743.733,10.532,52.6,19.59,0.213,,True,Pass,4146d044989af6d3,2026-06-20T02:50:11.736422+00:00
INTC,0000050863,INTEL CORP,NASDAQ,Technology,Semiconductors,673.434,9.98,37.2,64.05,3.177,,True,Pass,4146d044989af6d3,2026-06-20T02:50:11.747421+00:00
JNJ,0000200406,JOHNSON & JOHNSON,NYSE,Healthcare,Drug Manufacturers - General,549.784,22.87,68.04,76.85,1.602,,True,Pass,4146d044989af6d3,2026-06-20T02:50:11.779422+00:00
AMAT,0000006951,APPLIED MATERIALS INC /DE,NASDAQ,Technology,Semiconductor Equipment & Materials,489.96,7.993,48.96,85.14,0.784,,True,Pass,4146d044989af6d3,2026-06-20T02:50:11.803421+00:00
LRCX,0000707549,LAM RESEARCH CORP,NASDAQ,Technology,Semiconductor Equipment & Materials,486.522,6.955,49.98,88.07,0.476,,True,Pass,4146d044989af6d3,2026-06-20T02:50:11.815421+00:00
CSCO,0000858877,"CISCO SYSTEMS, INC.",NASDAQ,Technology,Communication Equipment,471.159,13.025,64.3,82.88,1.94,,True,Pass,4146d044989af6d3,2026-06-20T02:50:11.827421+00:00
ARM,0001973239,ARM HOLDINGS PLC /UK,NASDAQ,Technology,Semiconductors,469.378,1.524,97.54,95.41,0.461,,True,Pass,4146d044989af6d3,2026-06-20T02:50:11.838421+00:00
CAT,0000018230,CATERPILLAR INC,NYSE,Industrials,Farm & Heavy Construction Machinery,454.061,12.32,28.6,72.89,2.958,,True,Pass,4146d044989af6d3,2026-06-20T02:50:11.858421+00:00
ABBV,0001551152,AbbVie Inc.,NYSE,Healthcare,Drug Manufacturers - General,382.493,21.224,72.03,76.86,2.437,,True,Pass,4146d044989af6d3,2026-06-20T02:50:11.901422+00:00
PG,0000080424,PROCTER & GAMBLE Co,NYSE,Consumer Defensive,Household & Personal Products,350.175,19.41,50.98,71.91,1.479,,True,Pass,4146d044989af6d3,2026-06-20T02:50:11.943423+00:00
KO,0000021344,COCA COLA CO,NYSE,Consumer Defensive,Beverages - Non-Alcoholic,341.574,14.631,61.74,68.27,2.671,,True,Pass,4146d044989af6d3,2026-06-20T02:50:11.966422+00:00
KLAC,0000319201,KLA CORP,NASDAQ,Technology,Semiconductor Equipment & Materials,339.057,4.402,61.45,93.79,1.05,,True,Pass,4146d044989af6d3,2026-06-20T02:50:11.977421+00:00
HD,0000354950,"HOME DEPOT, INC.",NYSE,Consumer Cyclical,Home Improvement Retail,333.316,18.032,33.13,76.1,2.555,,True,Pass,4146d044989af6d3,2026-06-20T02:50:11.988423+00:00
NFLX,0001065280,NETFLIX INC,NASDAQ,Communication Services,Entertainment,325.832,12.65,49.03,85.11,1.172,,True,Pass,4146d044989af6d3,2026-06-20T02:50:11.999422+00:00
SNDK,0002023554,Sandisk Corp,NASDAQ,Technology,Computer Hardware,323.539,4.639,56.04,80.85,0.037,,True,Pass,4146d044989af6d3,2026-06-20T02:50:12.020422+00:00
PLTR,0001321655,Palantir Technologies Inc.,NASDAQ,Technology,Software - Infrastructure,307.983,2.723,84.07,62.4,0.105,,True,Pass,4146d044989af6d3,2026-06-20T02:50:12.040420+00:00
TXN,0000097476,TEXAS INSTRUMENTS INC,NASDAQ,Technology,Semiconductors,293.833,7.824,57.32,92.62,1.621,,True,Pass,4146d044989af6d3,2026-06-20T02:50:12.060423+00:00
